blog_id,ameba_id,unit_id,blog_title
0,morningmusume-9ki,0,モーニング娘。‘19 Q期オフィシャルブログ Powered by Ameba
1,morningmusume-10ki,0,モーニング娘。‘19 天気組オフィシャルブログ Powered by Ameba
2,mm-12ki,0,モーニング娘。‘19 12期オフィシャルブログ Powered by Ameba
3,morningm-13ki,0,モーニング娘。’19 13期・14期オフィシャルブログ Powered by Ameba
4,morningmusume15ki,0,モーニング娘。’19 15期オフィシャルブログ Powered by Ameba
5,angerme-amerika,1,アンジュルム オフィシャルブログ「アンジュルム アメリカにっき」Powered by Ameba
6,angerme-ss-shin,1,アンジュルム メンバー オフィシャルブログ Powered by Ameba
7,angerme-new,1,アンジュルム新メンバーオフィシャルブログ Powered by Ameba
8,juicejuice-official,2,Juice＝Juiceオフィシャルブログ Powered by Ameba
9,countrygirls,3,カントリー・ガールズオフィシャルブログ Powered by Ameba
10,kobushi-factory,4,こぶしファクトリー オフィシャルブログ Powered by Ameba
11,tsubaki-factory,5,つばきファクトリー オフィシャルブログ Powered by Ameba
12,beyooooonds-chicatetsu,6,BEYOOOOONDS CHICA#TETSUオフィシャルブログ Powered by Ameba
13,beyooooonds-rfro,6,BEYOOOOONDS 雨ノ森 川海オフィシャルブログ Powered by Ameba
14,beyooooonds,6,BEYOOOOONDSオフィシャルブログ Powered by Ameba